Marathon,marathonguide.com link
Baystate Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=66131020
Berlin Marathon,
Boston Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=15130415
Cal International Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=687131208
Chicago Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=67131013
Columbus Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=473131020
Cox Providence Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=2873130512
Eugene Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=2558130428
Grandma's Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=42130622
Hartford Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=59131012
Houston Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=2130113
Indianapolis Monumental Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=2953131102
Lakefront Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=541131006
Los Angeles Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=9130317
Marine Corps Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=41131027
Mohawk Hudson Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=1191131013
New Jersey Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=501130505
New York City Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=472131103
Ottawa Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=24130526
Philadelphia Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=479131117
Portland Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=38131006
Richmond Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=477131116
Road 2 Hope Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=2788131103
Rock 'n' Roll Arizona Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=1964130120
Rock 'n' Roll San Diego Marathon,
Santa Rosa Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=3368130825
St. George Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=57131005
Steamtown Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=540131013
Toronto Waterfront Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=1287131020
Twin Cities Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=58131006
Vancouver Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=21130505
Walt Disney World Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=481130113
Wineglass Marathon,http://www.marathonguide.com/results/browse.cfm?MIDD=539131006
